command: ./svp_tool L_112 --ind_l 2 --ind_r 110 --msd 100 --threads 64 -v 3 
begin bgj1 sieve on context [62, 108], gh = 870.86, pool size = 6213, 64 threads will be used..done, time = 0.00s
begin bgj2 sieve on context [17, 108], gh = 2092.27, pool size = 1340824, 64 threads will be used..................done, time = 3.02s
begin bgj2 sieve on context [16, 108], gh = 2123.62, pool size = 1548225, 64 threads will be used...................done, time = 3.47s
begin bgj3 sieve on context [15, 108], gh = 2154.89, pool size = 1787572, 64 threads will be used......done, time = 3.29s
begin bgj3 sieve on context [14, 108], gh = 2186.69, pool size = 2063726, 64 threads will be used......done, time = 3.39s
begin bgj3 sieve on context [13, 108], gh = 2218.99, pool size = 2383203, 64 threads will be used.......done, time = 4.38s
begin bgj3 sieve on context [12, 108], gh = 2251.43, pool size = 2752177, 64 threads will be used........done, time = 5.85s
begin bgj3 sieve on context [11, 108], gh = 2284.16, pool size = 3177992, 64 threads will be used.........done, time = 7.38s
begin bgj3 sieve on context [10, 108], gh = 2317.62, pool size = 3669745, 64 threads will be used.........done, time = 7.91s
begin bgj3 sieve on context [9, 108], gh = 2350.57, pool size = 4237432, 64 threads will be used...........done, time = 11.37s
begin bgj3 sieve on context [8, 108], gh = 2384.01, pool size = 4893202, 64 threads will be used...........done, time = 12.33s
begin bgj2 sieve on context [9, 108], gh = 2349.54, pool size = 4893475, 64 threads will be used................done, time = 23.58s
begin bgj2 sieve on context [10, 108], gh = 2315.69, pool size = 4237874, 64 threads will be used.............done, time = 17.13s
begin bgj2 sieve on context [11, 108], gh = 2282.17, pool size = 3670106, 64 threads will be used.............done, time = 14.26s
begin bgj2 sieve on context [12, 108], gh = 2248.31, pool size = 3178405, 64 threads will be used.............done, time = 11.82s
begin bgj2 sieve on context [13, 108], gh = 2214.37, pool size = 2752580, 64 threads will be used............done, time = 8.97s
begin bgj2 sieve on context [14, 108], gh = 2181.99, pool size = 2383804, 64 threads will be used............done, time = 7.59s
begin bgj2 sieve on context [15, 108], gh = 2149.32, pool size = 2064435, 64 threads will be used...........done, time = 5.36s
begin bgj2 sieve on context [16, 108], gh = 2115.95, pool size = 1787853, 64 threads will be used............done, time = 9.14s
begin bgj2 sieve on context [17, 108], gh = 2082.60, pool size = 1548326, 64 threads will be used.............done, time = 8.81s
begin bgj1 sieve on context [18, 108], gh = 2050.00, pool size = 1340889, 64 threads will be used.............done, time = 10.08s
begin bgj1 sieve on context [19, 108], gh = 2019.07, pool size = 1161244, 64 threads will be used...........done, time = 7.05s
begin bgj1 sieve on context [20, 108], gh = 1985.91, pool size = 1005667, 64 threads will be used..............done, time = 7.84s
begin bgj1 sieve on context [21, 108], gh = 1954.20, pool size = 870933, 64 threads will be used............done, time = 6.55s
begin bgj1 sieve on context [22, 108], gh = 1923.29, pool size = 754250, 64 threads will be used............done, time = 5.56s
begin bgj1 sieve on context [23, 108], gh = 1892.24, pool size = 653200, 64 threads will be used...........done, time = 4.72s
begin bgj1 sieve on context [24, 108], gh = 1861.05, pool size = 565687, 64 threads will be used.............done, time = 4.57s
begin bgj1 sieve on context [25, 108], gh = 1829.70, pool size = 489900, 64 threads will be used............done, time = 4.21s
begin bgj1 sieve on context [26, 108], gh = 1798.69, pool size = 424265, 64 threads will be used............done, time = 3.62s
begin bgj1 sieve on context [27, 108], gh = 1768.94, pool size = 367425, 64 threads will be used...........done, time = 3.13s
begin bgj1 sieve on context [28, 108], gh = 1738.18, pool size = 318199, 64 threads will be used...........done, time = 2.74s
begin bgj1 sieve on context [29, 108], gh = 1708.12, pool size = 275568, 64 threads will be used...........done, time = 2.38s
begin bgj1 sieve on context [30, 108], gh = 1678.33, pool size = 238649, 64 threads will be used..........done, time = 1.35s
begin bgj1 sieve on context [31, 108], gh = 1649.29, pool size = 206676, 64 threads will be used..........done, time = 1.42s
begin bgj1 sieve on context [32, 108], gh = 1619.40, pool size = 178987, 64 threads will be used..........done, time = 1.22s
begin bgj1 sieve on context [33, 108], gh = 1589.69, pool size = 155007, 64 threads will be used.........done, time = 1.58s
begin bgj1 sieve on context [34, 108], gh = 1562.10, pool size = 134240, 64 threads will be used.......done, time = 0.79s
begin bgj1 sieve on context [35, 108], gh = 1533.27, pool size = 116255, 64 threads will be used........done, time = 1.01s
begin bgj1 sieve on context [36, 108], gh = 1504.78, pool size = 100680, 64 threads will be used.........done, time = 0.50s
begin bgj1 sieve on context [37, 108], gh = 1476.14, pool size = 87191, 64 threads will be used...........done, time = 0.33s
begin bgj1 sieve on context [38, 108], gh = 1447.57, pool size = 75510, 64 threads will be used.........done, time = 0.67s
begin bgj1 sieve on context [39, 108], gh = 1423.05, pool size = 65393, 64 threads will be used.....done, time = 0.44s
begin bgj1 sieve on context [40, 108], gh = 1396.10, pool size = 56632, 64 threads will be used.......done, time = 0.31s
begin bgj1 sieve on context [41, 108], gh = 1369.18, pool size = 49045, 64 threads will be used.......done, time = 0.59s
begin bgj1 sieve on context [42, 108], gh = 1343.46, pool size = 42474, 64 threads will be used.....done, time = 0.06s
begin bgj1 sieve on context [43, 108], gh = 1317.33, pool size = 36783, 64 threads will be used.....done, time = 0.43s
begin bgj1 sieve on context [44, 108], gh = 1290.78, pool size = 31855, 64 threads will be used....done, time = 0.33s
begin bgj1 sieve on context [45, 108], gh = 1264.66, pool size = 27587, 64 threads will be used....done, time = 0.08s
begin bgj1 sieve on context [46, 108], gh = 1238.35, pool size = 23891, 64 threads will be used...done, time = 0.14s
begin bgj1 sieve on context [47, 108], gh = 1213.32, pool size = 20690, 64 threads will be used...done, time = 0.28s
begin bgj1 sieve on context [48, 108], gh = 1190.06, pool size = 17918, 64 threads will be used..done, time = 0.17s
begin bgj1 sieve on context [49, 108], gh = 1166.17, pool size = 15518, 64 threads will be used...done, time = 0.36s
begin bgj1 sieve on context [50, 108], gh = 1140.96, pool size = 13439, 64 threads will be used..done, time = 0.19s
begin bgj1 sieve on context [51, 108], gh = 1116.55, pool size = 11638, 64 threads will be used.done, time = 0.01s
begin bgj1 sieve on context [52, 108], gh = 1091.52, pool size = 10079, 64 threads will be used...done, time = 0.28s
begin bgj1 sieve on context [53, 108], gh = 1067.32, pool size = 8729, 64 threads will be used..done, time = 0.22s
begin bgj1 sieve on context [54, 108], gh = 1043.82, pool size = 7559, 64 threads will be used.done, time = 0.11s
begin bgj1 sieve on context [55, 108], gh = 1020.18, pool size = 6546, 64 threads will be used..done, time = 0.02s
begin bgj1 sieve on context [56, 108], gh = 996.74, pool size = 5669, 64 threads will be used.done, time = 0.05s
begin bgj1 sieve on context [57, 108], gh = 973.56, pool size = 4910, 64 threads will be used.done, time = 0.08s
__pump_red_done: runtime = 326.454542s, num_threads = 64, total_cost = 20893.090688Ts, dPot = 110.080974
time: 326.545865s
